X Y
-90.408490 501.470878
-90.419896 501.490289
-90.431232 501.509755
-90.442508 501.529272
-90.453729 501.548833
-90.464904 501.568431
-90.476040 501.588062
-90.487145 501.607718
-90.498227 501.627393
-90.509293 501.647081
-90.520350 501.666776
-90.531406 501.686472
-90.542469 501.706162
-90.553546 501.725841
-90.564645 501.745502
-90.575773 501.765139
-90.586939 501.784746
-90.598149 501.804316
-90.609411 501.823843
-90.620732 501.843322
-90.632121 501.862746
-90.643585 501.882108
-90.655131 501.901403
-90.666767 501.920625
-90.678500 501.939767
-90.690339 501.958822
-90.702290 501.977786
-90.714361 501.996651
-90.726560 502.015412
-90.738895 502.034062
-90.751372 502.052595
-90.764000 502.071005
-90.776786 502.089286
-101.171616 523.159887
-101.174286 523.159591
-101.176957 523.159299
-101.179629 523.159012
-101.182301 523.158729
-101.184973 523.158450
-101.187645 523.158175
-101.190318 523.157904
-101.192991 523.157636
-101.195664 523.157372
-101.198338 523.157111
-101.201012 523.156853
-101.203686 523.156598
-101.206360 523.156346
-101.209035 523.156097
-101.211710 523.155850
-101.214385 523.155605
-101.217061 523.155363
-101.219736 523.155123
-101.222412 523.154885
-101.225088 523.154649
-101.227764 523.154414
-101.230440 523.154181
-101.233117 523.153949
-101.235794 523.153718
-101.238470 523.153488
-101.241147 523.153260
-101.243824 523.153032
-101.246501 523.152804
-101.249179 523.152577
-101.251856 523.152351
-101.254533 523.152124
-101.257211 523.151897
-101.259888 523.151671
-101.262566 523.151444
-101.265244 523.151216
-101.267921 523.150988
-101.270599 523.150759
-101.273277 523.150530
-101.275954 523.150299
-101.278632 523.150067
-101.281310 523.149834
-101.283987 523.149599
-101.286665 523.149362
-101.289342 523.149124
-101.292020 523.148884
-101.294697 523.148642
-101.297374 523.148397
-101.300052 523.148152
-101.302729 523.147905
-101.305406 523.147657
-101.308083 523.147407
-101.310760 523.147157
-101.313437 523.146907
-101.316114 523.146656
-101.318791 523.146404
-101.321468 523.146153
-101.324145 523.145902
-101.326823 523.145651
-101.329500 523.145401
-101.332177 523.145152
